Method,Name,Error,Occurrences
POST,POST /auth/login,CatchResponseError('Login failed for user_0066@fitsi.test: 401'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0083@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0080@fitsi.test: 401'),1
GET,GET /nutrition-profile/,HTTPError('404 Client Error: Not Found for url: GET /nutrition-profile/'),6
POST,POST /auth/login,CatchResponseError('Login failed for user_0003@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0082@fitsi.test: 401'),1
GET,GET /meals/summary,HTTPError('500 Server Error: Internal Server Error for url: GET /meals/summary'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0079@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0020@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0022@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0034@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0043@fitsi.test: 401'),1
